state,district,city_town
Karnataka,Davanagere,Davanagere
Karnataka,Davanagere,Harihar
Karnataka,Dharwad,Dharwad
Karnataka,Dharwad,Hubballi
Karnataka,Gadag,Gadag-Betageri
Karnataka,Hassan,Hassan
Karnataka,Hassan,Arsikere
Karnataka,Haveri,Haveri
Karnataka,Haveri,Ranebennuru
Karnataka,Kalaburagi,Kalaburagi
Karnataka,Kalaburagi,Sedam
Karnataka,Kodagu,Madikeri
Karnataka,Kodagu,Virajpet
Karnataka,Kolar,Kolar
Karnataka,Kolar,KGF
Karnataka,Koppal,Koppal
Karnataka,Koppal,Gangavathi
Karnataka,Mandya,Mandya
Karnataka,Mandya,Maddur
Karnataka,Mandya,Srirangapatna
Karnataka,Mysuru,Mysuru
Karnataka,Mysuru,Nanjangud
Karnataka,Mysuru,Hunsur
Karnataka,Mysuru,T. Narasipura
Karnataka,Raichur,Raichur
Karnataka,Raichur,Sindhanur
Karnataka,Ramanagara,Ramanagara
Karnataka,Ramanagara,Channapatna
Karnataka,Shivamogga,Shivamogga
Karnataka,Shivamogga,Bhadravathi
Karnataka,Shivamogga,Sagara
Karnataka,Tumakuru,Tumakuru
Karnataka,Tumakuru,Tiptur
Karnataka,Udupi,Udupi
Karnataka,Udupi,Kundapura
Karnataka,Uttara Kannada,Karwar
Karnataka,Uttara Kannada,Sirsi
Karnataka,Vijayapura,Vijayapura
Karnataka,Vijayanagara,Hosapete
Karnataka,Yadgir,Yadgir
Maharashtra,Ahmednagar,Ahmednagar
Maharashtra,Ahmednagar,Shirdi
Maharashtra,Akola,Akola
Maharashtra,Amravati,Amravati
Maharashtra,Chhatrapati Sambhajinagar,Chhatrapati Sambhajinagar (Aurangabad)
Maharashtra,Kolhapur,Kolhapur
Maharashtra,Mumbai City,Mumbai
Maharashtra,Mumbai City,Colaba
Maharashtra,Mumbai City,Dadar
Maharashtra,Mumbai Suburban,Bandra
Maharashtra,Mumbai Suburban,Andheri
Maharashtra,Mumbai Suburban,Borivali
Maharashtra,Nagpur,Nagpur
Maharashtra,Nashik,Nashik
Maharashtra,Nashik,Malegaon
Maharashtra,Pune,Pune
Maharashtra,Pune,Pimpri-Chinchwad
Maharashtra,Pune,Lonavala
Maharashtra,Satara,Satara
Maharashtra,Solapur,Solapur
Maharashtra,Thane,Thane
Maharashtra,Thane,Kalyan-Dombivli
Maharashtra,Thane,Navi Mumbai
Tamil Nadu,Chennai,Chennai
Tamil Nadu,Chennai,Adyar
Tamil Nadu,Chennai,T. Nagar
Tamil Nadu,Chennai,Anna Nagar
Tamil Nadu,Coimbatore,Coimbatore
Tamil Nadu,Coimbatore,Pollachi
Tamil Nadu,Cuddalore,Cuddalore
Tamil Nadu,Dindigul,Dindigul
Tamil Nadu,Erode,Erode
Tamil Nadu,Kanchipuram,Kanchipuram
Tamil Nadu,Kanyakumari,Nagercoil
Tamil Nadu,Madurai,Madurai
Tamil Nadu,Salem,Salem
Tamil Nadu,Thanjavur,Thanjavur
Tamil Nadu,Thoothukudi,Thoothukudi
Tamil Nadu,Tiruchirappalli,Tiruchirappalli
Tamil Nadu,Tirunelveli,Tirunelveli
Tamil Nadu,Tiruppur,Tiruppur
Tamil Nadu,Vellore,Vellore
Telangana,Hyderabad,Hyderabad
Telangana,Hyderabad,Secunderabad
Telangana,Hyderabad,Gachibowli
Telangana,Hyderabad,Madhapur
Telangana,Karimnagar,Karimnagar
Telangana,Khammam,Khammam
Telangana,Mahabubnagar,Mahabubnagar
Telangana,Medchal-Malkajgiri,Malkajgiri
Telangana,Nalgonda,Nalgonda
Telangana,Nizamabad,Nizamabad
Telangana,Rangareddy,LB Nagar
Telangana,Warangal,Warangal
Delhi,Central Delhi,Karol Bagh
Delhi,Central Delhi,Connaught Place
Delhi,East Delhi,Mayur Vihar
Delhi,New Delhi,Chanakyapuri
Delhi,North Delhi,Civil Lines
Delhi,North West Delhi,Rohini
Delhi,South Delhi,Hauz Khas
Delhi,South Delhi,Saket
Delhi,South West Delhi,Dwarka
Delhi,West Delhi,Janakpuri
Uttar Pradesh,Agra,Agra
Uttar Pradesh,Aligarh,Aligarh
Uttar Pradesh,Ayodhya,Ayodhya
Uttar Pradesh,Bareilly,Bareilly
Uttar Pradesh,Ghaziabad,Ghaziabad
Uttar Pradesh,Gorakhpur,Gorakhpur
Uttar Pradesh,Jhansi,Jhansi
Uttar Pradesh,Kanpur Nagar,Kanpur
Uttar Pradesh,Lucknow,Lucknow
Uttar Pradesh,Lucknow,Gomti Nagar
Uttar Pradesh,Mathura,Mathura
Uttar Pradesh,Meerut,Meerut
Uttar Pradesh,Gautam Buddha Nagar,Noida
Uttar Pradesh,Gautam Buddha Nagar,Greater Noida
Uttar Pradesh,Prayagraj,Prayagraj
Uttar Pradesh,Varanasi,Varanasi
Gujarat,Ahmedabad,Ahmedabad
Gujarat,Gandhinagar,Gandhinagar
Gujarat,Rajkot,Rajkot
Gujarat,Surat,Surat
Gujarat,Vadodara,Vadodara
Gujarat,Bhavnagar,Bhavnagar
Gujarat,Jamnagar,Jamnagar
Gujarat,Kutch,Bhuj
Kerala,Alappuzha,Alappuzha
Kerala,Ernakulam,Kochi
Kerala,Ernakulam,Aluva
Kerala,Kozhikode,Kozhikode
Kerala,Malappuram,Malappuram
Kerala,Palakkad,Palakkad
Kerala,Thiruvananthapuram,Thiruvananthapuram
Kerala,Thrissur,Thrissur
West Bengal,Kolkata,Kolkata
West Bengal,Kolkata,Salt Lake
West Bengal,Howrah,Howrah
West Bengal,North 24 Parganas,Barasat
West Bengal,Darjeeling,Siliguri
West Bengal,Paschim Bardhaman,Durgapur
West Bengal,Paschim Bardhaman,Asansol
Rajasthan,Jaipur,Jaipur
Rajasthan,Jodhpur,Jodhpur
Rajasthan,Udaipur,Udaipur
Rajasthan,Kota,Kota
Rajasthan,Bikaner,Bikaner
Rajasthan,Ajmer,Ajmer
Madhya Pradesh,Bhopal,Bhopal
Madhya Pradesh,Indore,Indore
Madhya Pradesh,Gwalior,Gwalior
Madhya Pradesh,Jabalpur,Jabalpur
Madhya Pradesh,Ujjain,Ujjain
Punjab,Amritsar,Amritsar
Punjab,Ludhiana,Ludhiana
Punjab,Jalandhar,Jalandhar
Haryana,Gurugram,Gurugram
Haryana,Faridabad,Faridabad
Haryana,Panipat,Panipat
Chandigarh,Chandigarh,Chandigarh
Goa,North Goa,Panaji
Goa,South Goa,Margao
Odisha,Khordha,Bhubaneswar
Odisha,Cuttack,Cuttack
Bihar,Patna,Patna
Bihar,Gaya,Gaya
Assam,Kamrup Metropolitan,Guwahati
Uttarakhand,Dehradun,Dehradun
Uttarakhand,Haridwar,Haridwar
Himachal Pradesh,Shimla,Shimla
Jammu and Kashmir,Srinagar,Srinagar
Jammu and Kashmir,Jammu,Jammu
Jharkhand,Ranchi,Ranchi
Jharkhand,East Singhbhum,Jamshedpur
Chhattisgarh,Raipur,Raipur
